,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11
C32,0.02216435154138434,-0.05564541994146964,0.041978154991051016,0.044843169133297875,-0.055683238762959934,0.0511154094586052,0.002366380024701015,-0.013013671594660275,-0.0388355205157058,-0.010818774624337264,-0.04097606577283877,0.049306077494441436
C34,-0.007132971858194113,0.422072304559313,-0.264603329361742,0.1582123207532271,-0.525515788266539,0.2031061881992344,0.4476132307563084,0.5514953137902937,-0.04243888713233479,0.36224519592749116,0.29044597462608696,0.11313926303046858
C38,0.008053623584297738,-0.025761884897359952,0.011137297211925941,0.031836191867313825,-0.009769447312591663,0.022754717350886255,0.006083671622446214,-0.005264214300020326,0.005903814323618817,-0.004269128772122069,-0.012865264595315819,-0.019979143422970913
C42,-0.1500904354139145,-0.21447396641529645,0.20352809138574612,0.27049802865347466,0.11622123132388304,-0.08261691520776726,-0.22921837367733947,-0.2778705986883792,0.08011271858118056,-0.27620929472886985,-0.27209013253986847,-0.17387761878676997
C44,0.023085298709348244,-0.0334058668774997,0.03975068310890069,0.038685250893944666,-0.018362737797709628,0.026458621553423586,-0.034495064577033316,-0.006528287689365914,-0.05230512966318928,-0.012251638581960338,-0.01573960477087343,-0.000257903426291214
C50,-0.21453764769716732,-0.0023921006839165166,-0.533871797715667,-0.29111725427616014,0.6472972092384158,-0.5926193368596674,-0.12097519777794968,-0.36442492898156953,0.3673157396143391,0.21514764122477142,-0.002117821131585196,-0.12592904459986934
C53,-0.2760822304156809,0.18337113588223355,-0.4168174047496673,-0.07897727390669967,0.27300642239843875,-0.22681171787173077,-0.42103173847615993,0.06874198519217471,0.3736223964135032,0.02886577770046794,-0.4206439885882817,0.23361376715657298
C54,0.16964376179121454,-0.24204855976789275,0.17983608176552865,-0.014870633685253185,0.13416993991585405,-0.10942149557019334,-0.2139598922803398,0.049704039843872685,-0.22652198116744215,0.24430096065315743,-0.06613510272806739,-0.2198917407549829
C56,0.130750060990073,-0.1539682229270029,0.19621045979508822,0.13409530965655897,0.1023751243267422,-0.03754477703977891,-0.16236923352671404,-0.06392647709101229,-0.0581810397087386,0.1670855037612272,-0.10410155047933654,-0.18575311019432283
C61,0.22348823161860543,0.3732051276164487,-0.08470716024176009,0.17714180925198256,-0.166646309178883,0.37325057950008883,0.22151386508017562,0.1527563884048765,0.25534017724388963,-0.2996562219290934,0.32235881219832546,0.1297423307844701
C67,0.1089885318925214,0.15569785562351215,0.2662211923901667,0.2831870523383449,-0.10274369224673968,0.2598553267140373,0.14625039919984134,0.012430799632479398,-0.22646486297702384,-0.28447558347698004,-0.1149271208750563,0.0005917993662205767
C69,0.004402570447697967,-0.017930004787427525,0.0019197707478064638,0.017967201331873024,0.010138313164790755,0.007629759838065974,-0.02751399844226472,-0.004074982170476351,-0.011122283941520632,-0.00626588956707124,-0.01140913817684391,-0.013250187527226252
C71,0.005287168620440064,-0.02536786112091723,0.001946001705317642,0.006875878460104152,-0.018503385732913387,-0.004919528995407353,0.00899315461748683,-0.002887578593039091,0.012616462363173044,0.005320392195704245,-0.02513527878803256,0.015800596115317336
C77,-0.12245536800597207,0.20754233689341292,0.06181816599665611,0.21767971736125896,0.07171027475566853,0.19547646020087303,0.09911004242014855,-0.003065204983403928,0.17662354981292308,-0.21752792000388016,-0.16584118561458802,-0.07868386593665153
