first_site,second_site,n_pairs,gap_p25,gap_median,gap_p75
C03,C02,15,574.0,784.0,1214.5
C03,C04,1,472.0,472.0,472.0
C03,C05,9,0.0,182.0,640.0
C03,C06,43,18.5,727.0,1464.5
C03,C09,2,577.0,789.0,1001.0
C03,C10,4,1619.75,2994.5,4024.0
C03,C13,1,1344.0,1344.0,1344.0
C03,C15,10,329.75,1089.0,1528.5
C03,C18,1,666.0,666.0,666.0
C03,C22,5,27.0,69.0,696.0
C03,C32,1,1.0,1.0,1.0
C03,C34,6,759.75,829.5,1405.5
C03,C50,1,121.0,121.0,121.0
C03,C61,1,76.0,76.0,76.0
C04,C01,1,1197.0,1197.0,1197.0
C04,C02,3,1287.0,2302.0,2413.5
C04,C03,2,1000.0,1862.0,2724.0
C04,C05,1,981.0,981.0,981.0
C04,C06,4,7.5,448.5,1969.5
C04,C09,2,1.75,3.5,5.25
C04,C10,2,863.25,1371.5,1879.75
C04,C11,2,1167.5,1231.0,1294.5
C04,C12,2,35.0,48.0,61.0
C04,C13,5,540.0,731.0,2429.0
C04,C15,8,15.5,713.0,1030.0
C04,C18,2,1274.75,1340.5,1406.25
C04,C22,1,827.0,827.0,827.0
C04,C34,4,684.25,784.0,994.0
C05,C00,4,755.25,1338.0,2457.75
C05,C01,3,8.5,16.0,487.5
C05,C02,15,283.5,733.0,1058.5
C05,C03,9,151.0,837.0,1855.0
C05,C04,2,628.0,1239.0,1850.0
C05,C06,18,32.75,913.0,2401.0
C05,C09,11,0.0,126.0,1074.0
C05,C10,1,344.0,344.0,344.0
C05,C12,4,718.75,1743.0,3171.5
C05,C13,9,0.0,58.0,1155.0
C05,C15,12,31.25,246.0,499.0
C05,C18,3,736.5,758.0,987.5
C05,C20,1,349.0,349.0,349.0
C05,C22,2,2337.5,2693.0,3048.5
C05,C34,5,1120.0,1130.0,1499.0
C05,C61,1,328.0,328.0,328.0
C05,C67,1,985.0,985.0,985.0
C06,C00,20,300.5,1425.5,1813.5
C06,C01,2,692.25,1273.5,1854.75
C06,C02,44,729.75,1342.5,2028.5
C06,C03,42,945.0,1413.0,2152.0
C06,C04,2,1481.25,1579.5,1677.75
C06,C05,24,578.0,1066.0,2790.5
C06,C07,1,335.0,335.0,335.0
C06,C09,7,169.5,390.0,1413.0
C06,C10,9,295.0,931.0,2069.0
C06,C11,2,1090.0,2163.0,3236.0
C06,C12,5,1026.0,2409.0,2610.0
C06,C13,6,225.75,973.5,1604.25
C06,C15,13,36.0,720.0,1706.0
C06,C16,4,931.0,1527.0,1845.75
C06,C18,5,1229.0,2572.0,3652.0
C06,C19,2,2046.5,2095.0,2143.5
C06,C21,1,121.0,121.0,121.0
C06,C22,28,278.25,1363.5,2782.75
C06,C32,1,457.0,457.0,457.0
C06,C34,19,267.0,510.0,1204.0
C06,C61,3,266.0,501.0,1514.5
C06,C67,5,1826.0,1927.0,2148.0
C07,C02,1,2939.0,2939.0,2939.0
C07,C15,1,23.0,23.0,23.0
C07,C34,2,825.5,1051.0,1276.5
C07,C50,1,2937.0,2937.0,2937.0
C07,C54,1,3771.0,3771.0,3771.0
C08,C03,1,820.0,820.0,820.0
C08,C06,1,2119.0,2119.0,2119.0
C08,C10,1,564.0,564.0,564.0
C08,C16,1,37.0,37.0,37.0
C08,C20,1,42.0,42.0,42.0
C08,C22,1,936.0,936.0,936.0
C08,C61,1,1520.0,1520.0,1520.0
C09,C00,1,1253.0,1253.0,1253.0
C09,C01,9,1599.0,1697.0,2855.0
C09,C02,12,1329.75,1922.5,2433.0
C09,C03,5,367.0,660.0,822.0
C09,C04,1,1339.0,1339.0,1339.0
C09,C05,4,719.75,1221.0,1620.0
C09,C06,4,534.75,900.0,1354.25
C09,C10,2,590.75,1181.5,1772.25
C09,C12,9,0.0,353.0,842.0
C09,C13,7,78.0,334.0,1323.5
C09,C15,33,17.0,334.0,1073.0
C09,C16,1,213.0,213.0,213.0
C09,C18,2,538.5,1077.0,1615.5
C09,C20,1,266.0,266.0,266.0
C09,C22,7,92.0,658.0,1112.5
C09,C30,1,84.0,84.0,84.0
C09,C32,2,1265.25,1662.5,2059.75
C09,C34,9,424.0,935.0,1781.0
C09,C67,1,22.0,22.0,22.0
C10,C00,1,1073.0,1073.0,1073.0
C10,C01,1,1014.0,1014.0,1014.0
C10,C02,6,306.5,513.5,982.25
C10,C03,1,711.0,711.0,711.0
C10,C05,2,2675.5,2794.0,2912.5
C10,C12,2,509.75,1019.5,1529.25
C10,C13,6,0.0,0.0,0.75
C10,C15,22,17.25,84.5,168.5
C10,C16,1,649.0,649.0,649.0
C10,C22,2,417.25,772.5,1127.75
C10,C34,3,124.5,249.0,977.5
C10,C50,1,1224.0,1224.0,1224.0
C11,C00,1,3062.0,3062.0,3062.0
C11,C02,9,881.0,1655.0,2057.0
C11,C06,3,1176.5,1387.0,1411.5
C11,C10,1,2728.0,2728.0,2728.0
C11,C15,2,935.0,1367.0,1799.0
C11,C16,1,1818.0,1818.0,1818.0
C11,C18,5,0.0,28.0,99.0
C11,C20,4,19.0,99.0,667.5
C11,C22,5,253.0,713.0,1674.0
C11,C34,5,770.0,825.0,1095.0
C11,C42,2,814.75,1628.5,2442.25
C11,C50,1,0.0,0.0,0.0
C11,C56,1,944.0,944.0,944.0
C11,C61,4,1320.5,1588.5,2076.25
C11,C77,2,403.75,789.5,1175.25
C12,C01,4,1931.75,2804.5,3737.5
C12,C02,3,688.0,939.0,1285.5
C12,C03,3,342.5,386.0,1248.5
C12,C04,1,13.0,13.0,13.0
C12,C05,1,9.0,9.0,9.0
C12,C06,2,3491.0,3822.0,4153.0
C12,C09,3,255.5,492.0,1141.0
C12,C10,2,1890.0,1901.0,1912.0
C12,C11,2,369.0,505.0,641.0
C12,C13,1,2793.0,2793.0,2793.0
C12,C15,57,2.0,11.0,160.0
C12,C16,1,9.0,9.0,9.0
C12,C18,1,1568.0,1568.0,1568.0
C12,C22,1,799.0,799.0,799.0
C12,C32,2,23.25,46.5,69.75
C12,C34,2,1389.5,1841.0,2292.5
C12,C50,1,0.0,0.0,0.0
C12,C61,1,418.0,418.0,418.0
C12,C67,1,1039.0,1039.0,1039.0
C13,C01,2,1110.25,1884.5,2658.75
C13,C02,8,421.5,903.0,1074.0
C13,C03,3,78.5,141.0,1743.5
C13,C04,2,383.5,754.0,1124.5
C13,C05,2,126.25,224.5,322.75
C13,C06,7,1512.5,2557.0,3022.0
C13,C08,1,100.0,100.0,100.0
C13,C09,2,347.0,393.0,439.0
C13,C10,2,181.5,342.0,502.5
C13,C11,1,977.0,977.0,977.0
C13,C15,62,2.0,26.5,758.75
C13,C16,2,1067.5,2135.0,3202.5
C13,C18,2,643.0,1286.0,1929.0
C13,C19,1,1096.0,1096.0,1096.0
C13,C20,1,1023.0,1023.0,1023.0
C13,C22,2,795.25,1367.5,1939.75
C13,C32,1,1574.0,1574.0,1574.0
C13,C34,12,211.75,401.0,798.75
C13,C50,1,546.0,546.0,546.0
C13,C61,2,124.0,230.0,336.0
C13,C67,2,1647.0,2896.0,4145.0
C15,C01,8,197.5,425.5,621.5
C15,C02,8,134.75,272.5,822.0
C15,C03,3,747.0,807.0,860.5
C15,C04,4,460.5,1155.0,1903.0
C15,C05,5,580.0,735.0,739.0
C15,C06,9,160.0,294.0,512.0
C15,C07,1,814.0,814.0,814.0
C15,C09,11,27.0,1058.0,1230.0
C15,C10,8,9.25,142.5,419.25
C15,C11,1,10.0,10.0,10.0
C15,C12,31,12.5,18.0,34.5
C15,C13,50,14.25,56.5,584.5
C15,C16,10,0.0,1.0,10.5
C15,C18,8,12.5,41.0,213.5
C15,C20,4,12.0,24.5,301.5
C15,C22,16,0.75,27.0,341.0
C15,C32,9,38.0,207.0,395.0
C15,C34,18,7.5,63.0,799.25
C15,C42,2,1610.25,1840.5,2070.75
C15,C61,2,390.75,402.5,414.25
C15,C67,2,436.5,725.0,1013.5
C15,C77,3,1013.0,1195.0,2056.5
C16,C02,3,854.5,1222.0,2000.0
C16,C03,1,708.0,708.0,708.0
C16,C09,1,444.0,444.0,444.0
C16,C15,4,4.0,8.5,561.75
C16,C18,20,0.0,8.0,598.0
C16,C19,1,13.0,13.0,13.0
C16,C20,6,31.0,200.5,1470.25
C16,C22,12,0.0,150.5,814.0
C16,C34,8,55.5,423.0,2214.5
C16,C42,3,398.5,492.0,849.0
C16,C50,5,0.0,123.0,674.0
C16,C54,1,3854.0,3854.0,3854.0
C16,C61,6,150.0,751.5,1207.5
C16,C67,6,0.0,12.5,563.5
C16,C77,1,37.0,37.0,37.0
C18,C00,1,1429.0,1429.0,1429.0
C18,C02,9,729.0,1073.0,1641.0
C18,C03,3,964.0,1548.0,1925.0
C18,C05,4,2230.5,3048.5,3342.25
C18,C06,5,224.0,548.0,3114.0
C18,C07,3,628.5,947.0,1113.5
C18,C09,2,1415.5,1506.0,1596.5
C18,C11,3,1430.5,2663.0,2761.0
C18,C12,1,2989.0,2989.0,2989.0
C18,C15,7,24.0,271.0,1699.0
C18,C16,19,239.5,1025.0,1854.0
C18,C19,7,0.0,0.0,477.0
C18,C20,69,0.0,0.0,107.0
C18,C21,1,187.0,187.0,187.0
C18,C22,59,143.5,1064.0,2233.0
C18,C32,2,2941.0,3109.0,3277.0
C18,C34,51,234.0,873.0,2419.5
C18,C42,10,788.75,973.0,1880.75
C18,C44,1,244.0,244.0,244.0
C18,C50,30,632.75,986.0,2130.25
C18,C53,5,0.0,24.0,154.0
C18,C54,6,1264.5,2912.5,4025.0
C18,C56,5,0.0,1862.0,2182.0
C18,C61,52,449.5,1432.5,2234.75
C18,C67,18,104.5,1018.0,1957.0
C18,C77,7,571.5,1229.0,2035.5
C19,C02,1,127.0,127.0,127.0
C19,C03,1,710.0,710.0,710.0
C19,C06,1,7.0,7.0,7.0
C19,C09,1,2321.0,2321.0,2321.0
C19,C13,2,2200.0,2756.0,3312.0
C19,C15,1,26.0,26.0,26.0
C19,C16,1,588.0,588.0,588.0
C19,C18,4,30.75,243.5,657.75
C19,C20,1,0.0,0.0,0.0
C19,C21,1,20.0,20.0,20.0
C19,C22,7,141.5,672.0,1413.5
C19,C34,2,1201.75,1398.5,1595.25
C19,C42,1,1295.0,1295.0,1295.0
C19,C50,3,235.0,440.0,458.5
C19,C56,1,530.0,530.0,530.0
C19,C61,4,265.0,483.5,833.25
C19,C67,1,739.0,739.0,739.0
C19,C77,1,1096.0,1096.0,1096.0
